,ÀÌ¸§,ÆÀ,ÃâÀå,¿ÏÅõ,¿ÏºÀ,¼±¹ß,½Â,ÆÐ,¼¼ÀÌºê,È¦µå,ÀÌ´×,½ÇÁ¡,ÀÚÃ¥,Å¸ÀÚ,ÇÇ¾ÈÅ¸,ÇÇ2·ç,ÇÇ3·ç,ÇÇÈ¨·±,º¼³Ý,°íÀÇ»ç±¸,»ç±¸,Å»»ïÁø,º¸Å©,ÆøÅõ,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,birth,pid
175,°¡ºô¸®¿À,21S,15,0,0,15,6,4,0,0,81.1,54,53,351,88,18,0,7,30,1,6,70,0,3,5.86,4.02,1.45,76.5,113.0,0.02,-0.68,1990-05-22,20000
229,°­°æÇÐ,21ÇÑ,1,0,0,0,0,0,0,0,0.2,4,4,8,3,1,0,0,2,0,1,0,0,0,54.00,16.83,7.50,8.1,26.6,-0.14,0.00,1992-08-11,20001
274,°­µ¿¿¬,21N,12,0,0,3,3,2,0,1,23.0,21,20,109,25,4,1,4,14,0,0,14,0,3,7.83,6.20,1.70,58.0,73.1,-0.37,-1.28,1992-12-18,20002
184,°­µ¿È£,21·Ô,1,0,0,0,0,0,0,0,1.1,1,1,7,1,1,0,0,1,0,1,1,0,1,6.75,6.33,1.50,67.3,70.8,0.00,0.00,1994-04-21,20003
271,°­À±±¸,21N·Ô,22,0,0,1,0,1,0,3,16.0,15,15,79,21,4,0,3,14,1,1,15,0,0,8.44,6.52,2.19,53.9,68.6,-0.33,-0.91,1990-07-10,20004
18,°­Àç¹Î,21ÇÑ,58,0,0,0,2,1,5,13,63.1,16,15,269,51,13,0,2,26,3,5,55,1,1,2.13,3.33,1.22,205.5,133.7,3.12,1.10,1997-04-03,20005
225,°­Áö±¤,21S,1,0,0,0,0,0,0,0,1.0,4,4,10,3,0,0,0,4,0,0,1,0,0,36.00,13.33,7.00,12.5,33.5,-0.13,-0.00,1990-10-23,20006
183,°­ÅÂ°æ,21N,3,0,0,3,0,1,0,0,12.2,8,8,61,13,3,0,2,10,0,2,10,0,2,5.68,6.65,1.82,79.9,68.0,0.01,-0.36,2001-07-26,20007
179,°­ÅÂÀ²,21·Ô,1,0,0,0,0,0,0,0,0.1,0,0,3,2,1,0,0,0,0,0,0,0,0,0.00,3.33,6.00,,133.6,0.01,0.00,1996-11-01,20008
221,°íºÀÀç,21µÎ,1,0,0,0,0,0,0,0,1.1,4,4,8,5,0,0,1,0,0,0,0,0,0,27.00,13.08,3.75,16.0,31.3,-0.12,0.00,1993-05-14,20009
265,°í¿µÃ¢,21K,24,0,0,0,0,2,0,6,23.1,19,15,108,30,6,0,0,10,0,2,6,0,0,5.79,4.36,1.71,76.9,102.5,-0.28,-0.44,1989-02-24,20010
2,°í¿µÇ¥,21K,26,1,1,25,11,6,0,1,166.2,59,54,664,147,20,2,9,27,1,14,130,0,1,2.92,3.19,1.04,154.0,139.2,5.23,2.27,1991-09-16,20011
17,°í¿ì¼®,21L,63,0,0,0,1,5,30,0,58.0,15,14,240,47,10,1,3,23,5,3,68,0,1,2.17,2.75,1.21,198.6,157.6,3.13,-0.20,1998-08-06,20012
167,°íÈ¿ÁØ,21L,3,0,0,0,0,0,0,0,2.1,1,1,10,3,0,1,0,0,0,0,1,0,0,3.86,2.48,1.29,111.8,180.1,0.04,-0.14,1983-02-08,20013
53,°ûºó,21µÎ,21,0,0,21,4,7,0,0,98.2,50,45,455,78,17,3,7,79,0,12,96,1,6,4.10,5.08,1.59,105.1,85.6,1.33,-0.30,1999-05-28,20014
56,±¸½Â¹Î,21·Ô,68,0,0,0,6,5,0,20,62.1,30,30,262,47,7,2,5,31,0,4,65,1,4,4.33,3.97,1.25,104.9,112.4,1.27,0.30,1990-06-12,20015
261,±¸ÁØ¹ü,21»ï,1,0,0,1,0,0,0,0,2.0,5,5,12,2,0,0,2,3,0,1,1,0,0,22.50,21.33,2.50,20.1,21.7,-0.27,-0.37,1995-03-18,20016
83,±ÇÈÖ,21µÎ,24,0,0,0,0,0,0,1,20.1,6,6,92,16,3,0,0,14,0,2,15,0,3,2.66,4.22,1.48,162.4,105.0,0.60,0.13,2000-12-07,20017
30,±è°­·ü,21µÎ,50,0,0,0,3,0,21,3,51.2,15,12,230,54,7,2,2,25,4,1,41,0,4,2.09,3.53,1.53,206.4,124.0,2.49,1.80,1988-08-28,20018
194,±è°­¹Î,21S,1,0,0,0,0,0,0,0,0.2,1,1,4,1,0,0,1,1,0,0,1,0,0,13.50,24.33,3.00,33.2,19.1,-0.02,0.00,1982-09-13,20019
190,±è°Ç±¹,21·Ô,13,0,0,0,0,0,0,0,22.0,16,16,104,27,8,0,3,14,0,0,17,0,2,6.55,5.47,1.86,69.4,81.6,-0.01,0.09,1988-02-02,20020
178,±è°Ç¿ì,21S,6,0,0,4,0,1,0,0,11.0,7,6,54,8,1,0,1,12,0,0,7,0,1,4.91,6.51,1.82,91.4,69.2,0.02,-0.10,2002-07-12,20021
163,±è°ÇÅÂ,21N,6,0,0,0,0,0,0,0,6.2,4,4,29,2,0,0,1,7,0,0,5,0,3,5.40,6.93,1.35,84.1,65.3,0.05,-0.27,1991-10-02,20022
102,±è±âÁß,21ÇÑ,15,0,0,12,2,4,0,0,53.2,32,28,260,63,10,1,4,36,2,4,36,2,0,4.70,5.08,1.85,93.3,87.8,0.33,-0.62,2002-11-16,20023
248,±è±âÅ¹,21ÇÑ,19,0,0,0,0,0,0,4,12.1,10,8,58,14,4,1,0,7,0,1,12,0,0,5.84,3.33,1.70,75.0,133.8,-0.21,-0.31,1998-09-30,20024
276,±è´ë¿ì,21»ï,31,0,0,4,0,2,0,1,51.0,39,36,234,68,18,0,7,15,1,2,27,0,1,6.35,5.00,1.63,71.0,91.0,-0.39,-1.41,1988-11-21,20025
139,±è´ë¿ì,21·Ô,39,0,0,0,2,2,0,9,35.1,22,20,160,32,7,0,4,24,0,4,31,0,5,5.09,5.43,1.59,89.2,82.3,0.12,-0.71,1984-07-26,20026
34,±è´ëÀ¯,21L,64,0,0,0,4,1,0,24,50.2,13,12,209,32,1,0,2,15,0,9,56,0,2,2.13,3.06,0.93,202.4,142.4,2.09,1.85,1991-05-08,20027
264,±è´ëÇö,21L,4,0,0,0,0,0,0,0,3.2,8,5,23,7,4,0,2,3,0,1,4,0,1,12.27,11.51,2.73,35.1,36.1,-0.28,-0.06,1997-03-08,20028
145,±èµµ±Ô,21·Ô,43,0,0,0,2,1,0,5,42.0,28,27,182,41,5,1,3,22,1,0,39,0,2,5.79,3.90,1.50,78.6,114.2,0.10,0.51,1998-07-11,20029
169,±èµµÀ±,21µÎ,1,0,0,0,0,0,0,0,1.0,0,0,3,0,0,0,0,0,0,0,2,0,0,0.00,-0.67,0.00,,-651.2,0.04,0.00,2002-06-28,20030
233,±èµ¿¿ì,21·Ô,5,0,0,0,0,0,0,0,5.0,7,6,30,10,0,0,1,5,0,0,3,0,2,10.80,7.73,3.00,42.1,57.8,-0.15,-0.02,1995-10-01,20031
198,±èµ¿¿í,21Å°,3,0,0,0,0,0,0,0,3.0,3,3,16,7,0,1,2,1,0,0,2,0,0,9.00,11.67,2.67,49.3,35.7,-0.04,-0.00,1997-05-16,20032
119,±èµ¿Çõ,21Å°,40,0,0,8,0,5,1,0,82.0,51,47,367,89,21,0,5,34,4,14,30,1,0,5.16,5.00,1.50,85.9,87.6,0.25,-1.57,2001-12-27,20033
84,±è¸í½Å,21µÎ,58,0,0,1,3,2,0,2,67.0,37,32,289,72,14,3,6,14,1,6,43,0,1,4.30,4.06,1.28,100.3,105.9,0.58,-0.19,1993-11-29,20034
256,±è¹Î±Ô,21µÎ,31,0,0,6,2,3,0,1,56.1,40,38,262,64,10,0,9,28,0,4,39,0,3,6.07,5.73,1.63,71.0,74.4,-0.22,-0.67,1999-05-07,20035
60,±è¹Î¼ö,21K,56,0,0,1,4,2,0,11,58.0,25,19,253,56,8,1,2,24,3,3,55,1,3,2.95,3.13,1.38,152.3,142.2,1.18,-0.18,1992-07-24,20036
171,±è¹Î¼ö,21·Ô,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,1,0,0,1,0,0,0.00,4.33,1.00,,102.8,0.03,0.00,1998-03-18,20037
24,±è¹Î¿ì,21ÇÑ,29,0,0,28,14,10,0,0,155.1,71,69,662,131,23,1,15,76,1,7,125,1,5,4.00,4.56,1.33,109.6,97.7,2.94,0.39,1995-07-25,20038
161,±è¹ü¼ö,21ÇÑ,56,0,0,2,4,9,1,9,70.2,44,41,319,68,11,2,2,42,1,2,70,1,8,5.22,3.55,1.56,83.9,125.8,0.05,-1.36,1995-10-03,20039
105,±è»ó¼ö,21S,50,0,0,0,4,3,6,5,58.1,33,33,273,71,8,0,10,30,3,1,44,0,2,5.09,5.49,1.73,88.1,83.0,0.32,-0.04,1988-01-02,20040
286,±è¼±±â,21Å°,21,0,0,7,3,2,0,0,48.1,38,35,224,53,12,0,5,22,0,7,25,1,4,6.52,5.44,1.55,68.0,79.8,-0.50,-1.40,1991-09-01,20041
69,±è¼º¹Î,21Å°,47,0,0,0,2,3,1,11,46.2,21,17,218,43,7,0,4,35,2,6,36,0,1,3.28,5.41,1.67,135.2,80.4,0.95,0.05,1994-04-26,20042
266,±è¼ºÁø,21Å°,45,0,0,0,1,3,0,2,40.2,30,24,185,40,13,0,4,23,2,0,29,0,3,5.31,4.73,1.55,83.5,91.2,-0.29,-1.01,1997-11-14,20043
231,±è¼¼Çö,21S,5,0,0,0,0,0,0,0,4.1,5,5,28,9,2,0,0,7,1,0,5,1,0,10.38,5.18,3.69,43.2,86.9,-0.14,-0.05,1987-08-07,20044
103,±è¿µ±Ô,21N,37,0,0,8,5,3,0,6,63.2,40,38,286,69,8,0,10,28,0,1,42,0,3,5.37,5.42,1.52,84.5,83.6,0.33,-0.56,2000-02-10,20045
33,±è¿øÁß,21·Ô,61,0,0,0,4,4,35,0,62.2,26,25,268,50,8,0,6,28,4,3,64,0,8,3.59,3.83,1.25,126.6,116.5,2.25,2.20,1993-06-14,20046
295,±èÀ¯½Å,21K,15,0,0,11,2,6,0,0,54.1,47,46,249,63,12,1,11,35,0,2,29,0,0,7.62,6.94,1.80,58.4,63.7,-0.75,-1.61,1999-06-14,20047
240,±èÀ¯¿µ,21·Ô,26,0,0,0,1,0,0,0,18.2,16,15,92,21,4,0,1,14,0,2,17,0,2,7.23,4.78,1.88,62.8,93.4,-0.17,-0.11,1994-05-02,20048
269,±èÀ±¼ö,21»ï,20,0,0,1,0,0,0,1,19.0,18,14,101,25,5,0,2,17,0,1,25,0,4,6.63,4.91,2.21,68.1,91.6,-0.33,-0.65,1999-12-08,20049
87,±èÀ±½Ä,21L,35,0,0,3,7,4,0,1,66.2,37,32,301,65,9,2,3,36,2,6,56,2,0,4.32,4.04,1.52,99.8,108.1,0.54,-0.54,2000-04-03,20050
284,±èÀÌÈ¯,21ÇÑ,14,0,0,5,0,1,0,0,26.0,22,22,132,32,5,0,2,22,0,4,13,0,1,7.62,6.33,2.08,57.5,70.5,-0.46,-0.50,2000-09-15,20051
124,±èÀÎ¹ü,21Å°,3,0,0,0,0,0,0,0,5.1,0,0,20,3,1,0,0,1,0,0,5,0,0,0.00,2.02,0.75,,218.3,0.22,0.03,2000-01-12,20052
96,±èÀç¿­,21K,24,0,0,0,1,0,0,0,32.2,18,14,152,28,4,0,4,18,0,4,18,1,1,3.86,5.84,1.41,115.3,76.0,0.39,-0.19,1996-01-02,20053
70,±èÀç¿õ,21Å°,51,0,0,0,0,1,1,11,53.1,24,21,243,49,2,0,5,33,3,1,47,0,2,3.54,4.53,1.54,125.1,95.2,0.95,0.82,1998-10-22,20054
20,±èÀçÀ±,21K,65,0,0,0,4,3,32,0,67.0,19,18,275,57,8,0,5,24,4,0,64,0,2,2.42,3.29,1.21,185.8,135.2,3.07,1.38,1990-09-16,20055
294,±èÁ¤ºó,21S,6,0,0,6,0,1,0,0,17.1,20,19,92,20,1,0,5,20,0,4,21,0,1,9.87,8.81,2.31,45.5,51.9,-0.72,-1.33,1994-06-08,20056
270,±èÁ¤ÀÎ,21Å°,11,0,0,6,1,2,0,0,31.2,26,25,151,34,6,1,6,18,0,2,21,0,2,7.11,6.36,1.64,62.4,67.4,-0.33,-0.79,1996-06-03,20057
141,±èÁ¾¼ö,21ÇÑ,49,0,0,0,1,1,0,6,46.2,29,25,208,34,10,0,7,32,0,3,38,0,2,4.82,5.90,1.41,90.8,75.5,0.11,-0.20,1994-06-03,20058
152,±èÁÖ¿Â,21S,2,0,0,0,0,0,0,0,2.0,0,0,10,1,1,0,0,2,0,1,3,0,0,0.00,4.83,1.50,,94.1,0.07,0.00,1996-12-08,20059
118,±èÁØÇü,21Å°,14,0,0,0,0,0,0,0,14.1,6,5,67,15,1,0,2,7,0,3,8,0,1,3.14,6.12,1.54,141.2,70.7,0.25,0.07,2002-07-12,20060
130,±èÁö¿ë,21L,3,0,0,0,0,0,0,0,4.0,0,0,16,2,2,0,0,1,0,1,5,0,0,0.00,2.33,0.75,,189.5,0.17,0.02,1988-02-20,20061
303,±èÁø¼º,21N,42,0,0,0,2,4,1,9,37.2,34,30,174,43,10,0,7,18,3,1,37,0,2,7.17,5.06,1.62,63.3,89.9,-1.07,-1.25,1985-03-07,20062
172,±èÁø¼ö,21L,3,0,0,0,0,0,0,0,2.1,1,1,9,2,1,0,0,0,0,0,2,0,0,3.86,1.62,0.86,111.8,276.3,0.03,-0.04,1998-08-31,20063
100,±èÁø¿µ,21ÇÑ,20,0,0,0,0,1,0,1,18.1,8,8,81,16,3,0,2,14,2,0,8,0,1,3.93,5.84,1.64,111.5,76.5,0.35,-0.10,1992-04-16,20064
136,±èÁø¿í,21·Ô,39,0,0,5,4,6,0,8,45.2,32,32,227,42,9,0,3,49,3,3,45,0,15,6.31,5.44,1.99,72.1,82.0,0.13,-1.26,2002-07-05,20065
244,±èÁøÈ£,21N,1,0,0,1,0,1,0,0,1.0,3,3,7,2,0,0,0,3,0,0,1,0,1,27.00,10.33,5.00,16.8,43.8,-0.19,-0.23,1998-06-07,20066
247,±èÃ¢ÈÆ,21·Ô,6,0,0,0,0,0,0,0,8.0,10,10,41,13,4,0,1,6,0,0,6,0,0,11.25,5.71,2.38,40.4,78.2,-0.20,0.10,2001-11-09,20067
137,±èÅÂ°æ,21N,7,0,0,3,0,0,0,0,15.0,8,8,63,11,4,0,1,9,0,1,10,0,1,4.80,4.87,1.33,94.6,92.6,0.13,-0.05,2001-04-07,20068
241,±èÅÂÇö,21N,6,0,0,0,0,0,0,0,5.1,8,7,32,5,0,0,0,7,0,4,3,0,3,11.81,8.40,2.25,38.4,53.2,-0.18,-0.04,1998-03-21,20069
224,±èÅÂÇü,21L,2,0,0,0,0,0,0,0,1.0,3,3,6,0,0,0,0,2,0,1,1,0,0,27.00,10.33,2.00,16.0,42.6,-0.12,0.01,1998-09-17,20070
159,±èÅÂÈÆ,21S,65,0,0,0,2,4,1,16,58.0,35,32,269,55,5,0,7,39,3,9,49,1,4,4.97,5.54,1.62,90.4,82.1,0.05,-0.06,1990-05-19,20071
44,±èÅÂÈÆ,21Å°,66,0,0,0,4,2,11,15,64.1,26,23,282,60,10,0,1,33,2,1,52,1,3,3.22,3.41,1.45,137.8,128.7,1.67,1.35,1992-03-02,20072
27,±èÅÃÇü,21S,59,0,0,0,5,1,7,4,75.1,23,20,316,61,11,0,3,42,5,3,62,0,3,2.39,3.80,1.37,187.8,118.9,2.83,2.25,1996-10-10,20073
297,±èÇö¼ö,21K,17,0,0,8,1,4,0,0,45.2,43,40,229,57,16,0,8,36,0,3,27,0,1,7.88,6.99,2.04,56.4,63.4,-0.86,-1.36,2000-07-10,20074
164,±èÇöÁØ,21K,19,0,0,0,0,1,0,2,19.2,13,12,83,15,1,0,4,12,0,0,19,0,0,5.49,5.88,1.37,81.0,75.4,0.05,-0.24,1997-06-05,20075
252,³ª±Õ¾È,21·Ô,23,0,0,7,1,2,1,1,46.1,36,33,223,62,13,0,4,24,0,0,27,1,1,6.41,4.84,1.86,70.9,92.1,-0.22,-0.74,1998-03-16,20076
204,³ª¿øÅ¹,21·Ô,2,0,0,0,0,0,0,0,2.0,3,3,10,1,0,1,0,3,0,0,3,0,1,13.50,4.83,2.00,33.7,92.2,-0.06,0.00,1994-08-20,20077
272,³²ÀçÇö,21K,5,0,0,1,0,1,0,1,8.0,13,13,44,10,2,0,2,10,0,0,5,0,1,14.63,9.08,2.50,30.4,48.8,-0.34,0.04,1996-09-13,20078
226,³²Áö¹Î,21ÇÑ,3,0,0,3,0,1,0,0,7.1,6,6,41,9,2,0,1,7,0,3,3,0,0,7.36,8.38,2.18,59.5,53.2,-0.13,-0.24,2001-02-12,20079
218,³²È£,21µÎ,5,0,0,0,0,1,0,0,2.2,3,3,13,3,1,0,0,3,0,0,2,0,0,10.13,5.21,2.25,42.6,85.1,-0.11,-0.15,2000-07-20,20080
296,³ë°æÀº,21·Ô,14,0,0,11,3,5,0,0,56.1,50,46,269,79,16,1,11,24,0,4,35,0,3,7.35,6.12,1.83,61.8,73.1,-0.80,-1.90,1984-03-11,20081
126,³ë¼ºÈ£,21»ï,16,0,0,0,0,2,0,1,19.0,10,10,82,10,1,0,2,14,0,1,19,0,2,4.74,5.07,1.26,95.3,88.9,0.21,-0.57,1989-10-22,20082
150,³ë½ÃÈÆ,21N,5,0,0,0,0,0,0,0,4.2,2,2,22,4,1,0,1,4,0,0,2,0,0,3.86,7.83,1.71,117.7,57.9,0.08,-0.03,1998-08-04,20083
97,´ÙÄ«ÇÏ½Ã,21K,7,0,0,7,1,3,0,0,36.2,22,20,168,46,4,0,4,12,0,4,46,0,4,4.91,3.55,1.58,90.6,125.6,0.37,-0.32,1997-01-23,20084
12,µ¥½ºÆÄÀÌ³×,21K,33,0,0,33,13,10,0,0,188.2,81,71,819,175,30,3,10,78,0,7,165,0,15,3.39,3.62,1.34,132.6,122.7,4.00,0.79,1987-04-04,20085
80,¶óÀÌºí¸®,21»ï,7,0,0,7,0,1,0,0,33.1,16,15,140,23,6,0,4,13,0,5,38,0,0,4.05,4.23,1.08,111.5,107.0,0.66,0.33,1992-03-05,20086
10,·ÎÄÏ,21µÎ,21,1,0,21,9,9,0,0,124.0,44,41,540,132,20,2,5,42,1,12,112,1,1,2.98,3.33,1.40,144.9,130.9,4.12,1.00,1994-05-03,20087
7,·çÄ£½ºÅ°,21N,30,0,0,30,15,10,0,0,178.2,76,63,754,160,24,1,12,55,0,10,177,2,6,3.17,3.32,1.20,143.1,135.9,4.50,1.88,1988-12-30,20088
185,·ù¿ø¼®,21L,6,0,0,0,0,0,0,0,6.0,4,4,28,1,1,0,0,9,0,1,8,0,0,6.00,5.67,1.67,71.9,78.0,0.00,0.04,1989-11-18,20089
62,·ùÁø¿í,21N,44,0,0,0,1,0,1,7,43.1,15,10,190,40,6,1,2,22,0,0,31,0,4,2.08,4.03,1.43,218.6,111.9,1.15,0.55,1996-10-10,20090
104,¸£À§Å°,21S,4,0,0,4,1,0,0,0,14.1,6,6,56,15,3,0,2,2,0,0,9,0,0,3.77,4.31,1.19,119.1,105.7,0.32,0.17,1992-04-08,20091
19,¸æµ§,21K,21,0,0,21,8,3,0,0,120.0,53,48,502,109,18,2,12,35,0,8,104,3,2,3.60,3.97,1.20,123.5,111.9,3.10,0.51,1993-02-19,20092
125,¸ù°í¸Þ¸®,21»ï,11,0,0,11,2,5,0,0,52.0,33,31,244,46,5,1,3,38,0,4,55,0,4,5.37,4.39,1.62,84.1,102.0,0.21,-0.71,1989-07-01,20093
134,¹®°æÂù,21N,35,0,0,0,0,1,0,4,31.0,20,17,142,25,6,0,6,20,1,0,25,0,1,4.94,6.07,1.45,92.0,74.8,0.13,-0.19,1992-07-08,20094
186,¹®´ë¿ø,21µÎ,2,0,0,0,0,0,0,0,1.1,1,1,9,2,0,0,1,2,0,0,1,0,0,6.75,16.08,3.00,63.9,25.8,0.00,0.00,1998-08-22,20095
158,¹®µ¿¿í,21ÇÑ,1,0,0,0,0,0,0,0,1.1,0,0,6,1,0,0,0,1,0,0,2,0,0,0.00,2.58,1.50,,172.9,0.06,0.00,1992-01-07,20096
176,¹®¼ºÇö,21Å°,4,0,0,0,0,0,0,0,3.1,2,2,18,3,2,0,0,6,0,0,3,0,1,5.40,6.93,2.70,82.1,63.4,0.02,-0.01,1991-11-09,20097
54,¹®½Â¿ø,21S,9,0,0,9,2,2,0,0,50.1,20,16,212,42,14,0,1,18,0,2,32,0,1,2.86,3.51,1.19,156.8,127.9,1.33,0.31,1989-11-28,20098
107,¹®¿ëÀÍ,21»ï,22,0,0,0,2,0,0,2,22.0,11,11,98,21,3,0,3,10,0,1,19,0,4,4.50,4.88,1.41,100.3,93.0,0.31,0.28,1995-02-04,20099
0,¹Ì¶õ´Ù,21µÎ,28,1,1,28,14,5,0,0,173.2,49,45,709,135,21,1,11,63,0,1,225,1,7,2.33,2.67,1.14,185.0,161.1,7.10,3.27,1989-01-10,20100
138,¹Ú°Ç¿ì,21K,3,0,0,0,0,0,0,0,3.0,0,0,11,2,0,0,0,1,0,1,3,0,0,0.00,3.33,1.00,,135.1,0.13,0.01,1998-06-03,20101
